"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.08,01:59:52,38.3057,38.2703,2.8,-.-,1.4,-.-,BOSTANBASI-YESILYURT(MALATYA)"
"2023.12.08,01:57:41,37.8603,36.3173,7.6,-.-,1.5,-.-,PAYAMBURNU-GOKSUN(KAHRAMANMARAS)"
"2023.12.08,01:34:11,40.4238,28.8513,9.9,-.-,1.6,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.08,01:27:29,36.3557,29.0852,11.7,-.-,1.6,-.-,BOGAZICI-FETHIYE(MUGLA)"
"2023.12.08,01:19:01,38.4502,37.6733,14.1,-.-,1.1,-.-,KARABAYIR-DARENDE(MALATYA)"
"2023.12.08,01:06:51,36.2790,36.0903,6.9,-.-,1.5,-.-,KARLISU-(HATAY)"
"2023.12.08,01:02:07,38.5053,40.2715,14.9,-.-,1.8,-.-,CAYBASI-GENC(BINGOL)"
"2023.12.08,00:56:20,38.4860,39.2572,4.7,-.-,1.7,-.-,BEKCITEPE-SIVRICE(ELAZIG)"
"2023.12.08,00:46:56,40.3582,44.0847,1.4,-.-,1.5,-.-,ERMENISTAN,Ýlksel"
"2023.12.08,00:38:47,38.5825,26.7723,7.8,-.-,1.7,-.-,IZMIR,KORFEZI(EGE,DENIZI)"
"2023.12.08,00:16:25,38.9953,39.9142,4.6,-.-,2.6,-.-,UCBUDAK-KARAKOCAN(ELAZIG)"
"2023.12.08,00:00:15,38.2518,37.7888,11.3,-.-,1.4,-.-,CEVIRME-AKCADAG(MALATYA)"
"2023.12.07,23:52:23,39.3787,40.4872,5.6,-.-,2.0,-.-,GUZGULU-YEDISU(BINGOL)"
"2023.12.07,23:39:26,40.4532,28.8748,4.3,-.-,1.6,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.07,23:34:24,38.4958,40.2847,8.6,-.-,1.8,-.-,CAYBASI-GENC(BINGOL)"
"2023.12.07,23:32:21,38.5035,40.2975,9.5,-.-,1.9,-.-,CAYBASI-GENC(BINGOL)"
"2023.12.07,23:31:29,38.3760,37.6390,5.0,-.-,1.7,-.-,KOZLUCA-AKCADAG(MALATYA)"
"2023.12.07,23:12:14,38.5397,31.8717,9.4,-.-,1.4,-.-,YESILOBA-YUNAK(KONYA)"
"2023.12.07,22:51:33,36.6840,36.1513,12.5,-.-,1.2,-.-,SARISEKI-ISKENDERUN(HATAY)"
"2023.12.07,22:47:39,38.0800,38.4610,23.6,-.-,1.5,-.-,HUSEYINLI-SINCIK(ADIYAMAN)"
"2023.12.07,22:38:42,38.4858,40.2577,7.1,-.-,1.7,-.-,UCOCAK-ARICAK(ELAZIG)"
"2023.12.07,22:24:50,38.5047,40.2518,5.0,-.-,3.6,3.8,UCOCAK-ARICAK(ELAZIG)"
"2023.12.07,22:14:04,38.1713,37.4812,13.5,-.-,1.5,-.-,TEPEBASI-ELBISTAN(KAHRAMANMARAS)"
"2023.12.07,20:56:16,37.0958,28.4550,13.9,-.-,1.5,-.-,ULA(MUGLA)"
"2023.12.07,20:44:59,40.4130,28.8273,14.5,-.-,1.6,-.-,KUMYAKA-MUDANYA(BURSA)"
"2023.12.07,20:26:12,34.5772,24.0105,25.8,-.-,2.3,-.-,GIRIT,ADASI,ACIKLARI(AKDENIZ)"
"2023.12.07,20:06:06,40.4397,28.8957,7.2,-.-,1.6,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.07,19:56:06,37.5942,36.1227,5.8,-.-,2.8,-.-,KOSEPINARI-KADIRLI(OSMANIYE)"
"2023.12.07,19:48:29,38.4787,39.3610,7.4,-.-,1.7,-.-,SUREK-SIVRICE(ELAZIG)"
"2023.12.07,19:44:24,38.4703,37.3922,27.2,-.-,1.5,-.-,GAZIKOY-DARENDE(MALATYA)"
"2023.12.07,19:06:44,38.1102,32.5888,6.2,-.-,2.2,-.-,CANDIR-SELCUKLU(KONYA)"
"2023.12.07,18:56:12,40.2333,29.4375,4.6,-.-,1.6,-.-,MARMARACIK-YENISEHIR(BURSA)"
"2023.12.07,18:53:37,35.4475,26.2628,3.5,-.-,2.4,-.-,GIRIT,ADASI(AKDENIZ)"
"2023.12.07,18:25:28,40.4185,28.8977,8.8,-.-,1.5,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.07,18:18:09,38.2605,38.2977,8.8,-.-,1.4,-.-,KOZLUK-YESILYURT(MALATYA)"
"2023.12.07,18:11:44,40.4667,32.9432,2.0,-.-,1.7,-.-,ULUAGAC-CUBUK(ANKARA)"
"2023.12.07,16:55:43,39.6400,44.4625,5.0,-.-,3.2,3.3,GUNGOREN-DOGUBAYAZIT(AGRI)"
"2023.12.07,16:11:00,37.4387,36.9970,5.5,-.-,1.5,-.-,SIVRICEHUYUK-(KAHRAMANMARAS)"
"2023.12.07,15:45:23,38.0963,42.6727,5.9,-.-,1.9,-.-,CICEKLI-BAHCESARAY(VAN)"
"2023.12.07,15:27:05,35.6627,23.3368,12.8,-.-,2.7,2.5,GIRIT,ADASI(AKDENIZ)"
"2023.12.07,15:22:54,36.2645,31.3552,17.0,-.-,2.0,-.-,ANTALYA,KORFEZI(AKDENIZ)"
"2023.12.07,15:05:40,40.5813,27.3277,16.0,-.-,2.3,-.-,MUREFTE,ACIKLARI-TEKIRDAG(MARMARA,DENIZI)"
"2023.12.07,14:37:56,37.4250,37.0320,17.7,-.-,0.7,-.-,ALIBEYUSAGI-(KAHRAMANMARAS)"
"2023.12.07,14:34:24,38.5232,37.2873,5.0,-.-,1.9,-.-,HORHOR-ELBISTAN(KAHRAMANMARAS)"
"2023.12.07,14:08:27,37.7940,32.1970,2.1,-.-,1.5,-.-,ERENKAYA-MERAM(KONYA)"
