Derinlik,ML,Yer,Timestamp
36.3,2.6,MERSIN,1701802860.0
7.0,2.4,CORUM,1701802531.0
4.9,1.5,SIVAS,1701801025.0
8.1,2.1,MALATYA,1701800839.0
4.4,1.8,MANISA,1701799996.0
4.3,1.6,HATAY,1701799613.0
3.0,1.3,MALATYA,1701799506.0
7.0,3.0,MANISA,1701799496.0
6.9,2.0,DUZCE,1701798650.0
4.9,1.9,KAHRAMANMARAS,1701797782.0
11.2,1.6,MALATYA,1701796705.0
5.4,2.1,MALATYA,1701791290.0
5.4,2.2,ADIYAMAN,1701789557.0
0.0,1.4,MERSIN,1701788826.0
10.7,1.3,KAHRAMANMARAS,1701786157.0
6.3,3.2,DUZCE,1701785455.0
8.8,2.2,KAHRAMANMARAS,1701784814.0
6.2,1.5,YOZGAT,1701783702.0
2.0,1.7,KAHRAMANMARAS,1701781920.0
5.6,1.3,MALATYA,1701781157.0
1.5,1.1,SIVAS,1701779807.0
8.9,1.7,KAHRAMANMARAS,1701779670.0
14.4,1.6,MALATYA,1701778938.0
5.2,1.6,CANAKKALE,1701777539.0
8.2,1.7,KAHRAMANMARAS,1701776444.0
5.0,1.7,HATAY,1701776252.0
10.3,1.6,BURSA,1701774280.0
5.0,1.8,YOZGAT,1701773745.0
4.2,1.4,YALOVA,1701773622.0
7.1,2.8,CORUM,1701773531.0
5.4,2.2,MALATYA,1701773434.0
5.3,1.5,CORUM,1701772951.0
12.0,1.4,BURSA,1701772130.0
5.0,1.9,ERZINCAN,1701771874.0
9.9,1.9,CORUM,1701771832.0
5.0,2.3,KAHRAMANMARAS,1701771388.0
8.2,2.0,CORUM,1701770902.0
4.8,3.5,CORUM,1701770445.0
1.0,3.3,CORUM,1701769787.0
5.0,1.7,KONYA,1701768560.0
5.0,1.6,KAYSERI,1701767123.0
5.0,1.6,NIGDE,1701764825.0
13.1,1.6,KAHRAMANMARAS,1701763282.0
8.4,1.5,YALOVA,1701762245.0
10.8,2.1,KAHRAMANMARAS,1701761584.0
9.6,2.0,CORUM,1701761238.0
5.0,2.0,KONYA,1701759439.0
8.6,2.5,ANKARA,1701758841.0
0.0,2.0,MANISA,1701758102.0
4.2,2.1,GAZIANTEP,1701757928.0
5.1,2.0,KAHRAMANMARAS,1701757742.0
18.5,1.4,MALATYA,1701755904.0
5.0,1.7,YALOVA,1701755847.0
10.8,1.6,BURSA,1701751054.0
7.7,1.9,KAHRAMANMARAS,1701749316.0
10.7,1.8,KAHRAMANMARAS,1701749217.0
12.0,0.9,BURSA,1701747559.0
2.7,1.5,YALOVA,1701744976.0
12.8,1.4,BURSA,1701742711.0
4.6,1.5,OSMANIYE,1701737642.0
9.7,1.9,BURSA,1701736718.0
11.3,1.4,BURSA,1701736327.0
6.9,2.0,ADANA,1701734508.0
15.1,1.4,IZMIR,1701733991.0
5.7,1.7,MALATYA,1701731082.0
14.0,1.6,BURSA,1701731079.0
14.6,1.3,MALATYA,1701729954.0
11.6,1.3,BURSA,1701729259.0
12.8,1.8,BURSA,1701729143.0
12.4,1.4,MUGLA,1701728842.0
8.5,2.3,CORUM,1701727992.0
7.8,3.4,CORUM,1701727590.0
9.0,1.5,ANKARA,1701725993.0
11.2,1.4,HATAY,1701725777.0
9.4,1.3,MANISA,1701725067.0
5.5,1.4,ADANA,1701724292.0
12.4,1.6,BURSA,1701724055.0
8.6,1.1,MALATYA,1701724027.0
16.4,1.6,BURSA,1701723608.0
2.6,1.5,DENIZLI,1701721455.0
5.4,1.7,ADIYAMAN,1701720558.0
8.3,2.4,KAHRAMANMARAS,1701719387.0
5.0,1.2,BURSA,1701718930.0
10.7,2.4,BURSA,1701718721.0
7.8,1.5,ADANA,1701718517.0
8.4,1.7,KAHRAMANMARAS,1701717906.0
5.0,1.6,BURSA,1701715927.0
4.2,1.6,MUGLA,1701715539.0
5.1,1.3,ADANA,1701715385.0
5.1,2.4,MALATYA,1701714891.0
3.6,1.8,YALOVA,1701714473.0
13.8,1.6,BURSA,1701714333.0
7.6,1.7,DENIZLI,1701713050.0
23.5,1.5,MALATYA,1701711717.0
2.0,1.8,ANKARA,1701711421.0
3.6,2.1,BINGOL,1701710208.0
5.4,1.8,YALOVA,1701708372.0
11.7,1.4,HATAY,1701707943.0
5.5,1.3,DIYARBAKIR,1701706551.0
6.5,1.2,KAHRAMANMARAS,1701703780.0
5.1,1.0,KAHRAMANMARAS,1701703427.0
5.1,1.9,MALATYA,1701700715.0
9.0,1.4,BURSA,1701698875.0
5.0,3.2,MUGLA,1701697715.0
0.0,1.5,MANISA,1701697426.0
5.0,1.6,KAHRAMANMARAS,1701697027.0
25.8,1.5,SIVAS,1701696677.0
9.3,1.6,KAHRAMANMARAS,1701696618.0
13.4,1.5,BURSA,1701695699.0
13.9,2.0,BURSA,1701695433.0
8.4,1.6,BURSA,1701695286.0
8.7,1.2,BURSA,1701695270.0
2.0,1.1,BURSA,1701694900.0
3.8,0.7,BURSA,1701694832.0
1.6,1.1,BURSA,1701694642.0
18.9,1.4,MALATYA,1701694550.0
8.3,1.7,ADANA,1701693883.0
8.4,1.1,MANISA,1701693304.0
8.6,1.6,BURSA,1701691397.0
2.1,1.2,BURSA,1701690054.0
1.9,1.9,KAHRAMANMARAS,1701689938.0
13.8,1.3,BURSA,1701689386.0
5.0,2.0,KAHRAMANMARAS,1701689175.0
20.3,1.4,BURSA,1701689054.0
3.8,1.5,YALOVA,1701689031.0
5.0,3.5,KAHRAMANMARAS,1701688802.0
4.8,1.6,YALOVA,1701688551.0
7.5,1.2,KONYA,1701688216.0
13.9,1.8,BURSA,1701688196.0
1.8,1.0,BURSA,1701687501.0
10.4,1.9,BURSA,1701687072.0
3.4,1.3,YALOVA,1701687056.0
12.5,1.6,BURSA,1701686903.0
1.8,1.3,YALOVA,1701686787.0
0.0,1.4,KONYA,1701686214.0
4.1,1.8,MALATYA,1701686016.0
3.3,2.2,SIVAS,1701685314.0
5.0,1.0,BURSA,1701684837.0
7.2,1.3,BURSA,1701683845.0
18.7,1.4,BURSA,1701683792.0
