Derinlik,ML,Yer,Timestamp
13.8,1.6,ADIYAMAN,1702881461.0
16.9,1.4,MALATYA,1702880374.0
5.1,1.5,DUZCE,1702880207.0
5.0,3.1,MALATYA,1702879645.0
4.9,2.0,MALATYA,1702879278.0
2.3,1.7,CORUM,1702872539.0
8.8,1.4,KAHRAMANMARAS,1702871209.0
5.0,2.1,GUMUSHANE,1702870162.0
5.0,2.6,BINGOL,1702868621.0
2.2,1.4,OSMANIYE,1702864802.0
5.0,2.0,ADANA,1702861992.0
5.0,2.5,GUMUSHANE,1702861333.0
5.0,2.3,KAHRAMANMARAS,1702860358.0
5.3,1.8,GUMUSHANE,1702859763.0
5.6,2.6,YALOVA,1702859550.0
16.9,1.8,GUMUSHANE,1702859358.0
3.6,1.8,MALATYA,1702859209.0
5.0,2.5,BITLIS,1702858613.0
7.3,1.6,GUMUSHANE,1702856073.0
5.0,2.7,GUMUSHANE,1702855626.0
5.0,2.3,GUMUSHANE,1702855343.0
5.3,1.5,MUGLA,1702853822.0
5.0,2.0,GUMUSHANE,1702853275.0
7.8,1.8,GUMUSHANE,1702852440.0
4.6,1.9,GUMUSHANE,1702852205.0
29.3,1.6,GUMUSHANE,1702851924.0
5.0,1.6,ERZINCAN,1702851767.0
5.0,2.5,GUMUSHANE,1702851720.0
5.0,2.3,GUMUSHANE,1702851621.0
5.0,4.3,GUMUSHANE,1702851349.0
5.0,2.3,GUMUSHANE,1702850879.0
5.0,2.5,GUMUSHANE,1702850599.0
5.0,2.4,BOLU,1702849845.0
5.0,2.6,BATMAN,1702837904.0
17.4,1.8,MALATYA,1702828605.0
3.4,1.4,ADANA,1702827224.0
5.0,2.4,KAHRAMANMARAS,1702823244.0
9.0,2.4,DIYARBAKIR,1702818879.0
5.0,2.7,VAN,1702817202.0
4.7,2.5,MALATYA,1702817148.0
5.0,1.5,ELAZIG,1702815122.0
4.0,1.7,MALATYA,1702814969.0
5.1,2.3,ELAZIG,1702814591.0
5.3,2.2,ADANA,1702812934.0
2.1,1.6,KAHRAMANMARAS,1702811337.0
5.2,2.0,KAHRAMANMARAS,1702809208.0
1.6,3.0,ADIYAMAN,1702805004.0
5.5,2.2,MALATYA,1702799997.0
11.6,1.9,BURSA,1702798276.0
11.5,2.0,MALATYA,1702795108.0
4.1,1.5,SIVAS,1702793153.0
5.5,1.6,GAZIANTEP,1702789960.0
9.9,1.1,MALATYA,1702789129.0
2.6,2.3,BINGOL,1702788588.0
5.8,2.0,BINGOL,1702788324.0
12.0,1.5,ERZURUM,1702787003.0
11.0,1.8,BURDUR,1702786011.0
15.3,1.5,VAN,1702785513.0
1.1,2.0,ADANA,1702785281.0
14.4,1.5,MALATYA,1702783773.0
7.4,1.6,MALATYA,1702783749.0
12.3,1.1,GAZIANTEP,1702782689.0
7.1,1.6,KAHRAMANMARAS,1702782490.0
7.3,1.3,KONYA,1702781436.0
9.0,2.0,DIYARBAKIR,1702779292.0
25.6,0.7,MUGLA,1702779038.0
5.8,2.1,MALATYA,1702774024.0
17.6,0.8,ADANA,1702772401.0
5.0,1.8,MALATYA,1702771830.0
11.3,1.4,KAHRAMANMARAS,1702770043.0
14.0,1.8,ISPARTA,1702769728.0
20.8,1.5,MALATYA,1702768467.0
10.8,1.2,KAHRAMANMARAS,1702767222.0
7.6,1.9,KAHRAMANMARAS,1702766493.0
9.9,1.5,MUGLA,1702765655.0
6.6,2.4,MALATYA,1702764031.0
5.0,2.0,KAHRAMANMARAS,1702760474.0
16.5,1.6,HATAY,1702758022.0
9.8,2.3,BURSA,1702755044.0
4.3,1.7,ISTANBUL,1702753826.0
3.8,1.8,MALATYA,1702753783.0
7.9,1.8,HATAY,1702752119.0
5.0,1.0,KUTAHYA,1702751420.0
5.4,1.5,MANISA,1702749469.0
5.5,1.9,MALATYA,1702747648.0
11.6,1.7,BALIKESIR,1702745275.0
7.8,2.3,MUGLA,1702744171.0
6.0,2.8,KAHRAMANMARAS,1702743798.0
5.0,2.2,ADANA,1702734170.0
1.6,1.4,IZMIR,1702733135.0
8.8,2.0,IZMIR,1702733041.0
5.2,1.8,KAHRAMANMARAS,1702732919.0
5.4,2.2,BALIKESIR,1702732905.0
5.1,1.6,KAHRAMANMARAS,1702732479.0
5.0,2.1,SIVAS,1702729392.0
11.4,1.1,KUTAHYA,1702720428.0
14.0,1.5,ADANA,1702719495.0
9.0,1.9,KUTAHYA,1702718149.0
6.0,1.8,MALATYA,1702717670.0
5.3,1.1,MERSIN,1702716393.0
5.0,2.2,MALATYA,1702713110.0
4.2,2.1,MERSIN,1702707711.0
5.5,1.6,KAHRAMANMARAS,1702703818.0
7.3,2.0,BURSA,1702703633.0
5.0,2.4,BATMAN,1702703364.0
20.3,1.9,DUZCE,1702702723.0
9.0,1.3,MALATYA,1702699897.0
3.9,1.1,MALATYA,1702698374.0
2.4,2.5,KAHRAMANMARAS,1702696476.0
1.5,2.0,KAHRAMANMARAS,1702695846.0
19.9,1.3,KAHRAMANMARAS,1702695808.0
5.0,1.3,MALATYA,1702693997.0
12.2,1.5,ADIYAMAN,1702693863.0
5.0,2.8,KAHRAMANMARAS,1702693703.0
5.7,1.2,KONYA,1702690812.0
6.2,1.1,KAHRAMANMARAS,1702690630.0
2.6,1.6,ADIYAMAN,1702690202.0
8.9,1.3,MALATYA,1702688313.0
5.0,1.3,MALATYA,1702687176.0
4.5,2.7,BURSA,1702686410.0
5.0,2.2,HATAY,1702685292.0
6.2,1.6,KAHRAMANMARAS,1702683708.0
4.2,1.0,KAHRAMANMARAS,1702683258.0
6.2,1.4,KAHRAMANMARAS,1702682525.0
8.8,1.3,KAHRAMANMARAS,1702682342.0
7.6,1.5,KAHRAMANMARAS,1702682162.0
9.2,1.5,HATAY,1702682057.0
2.2,2.3,KAHRAMANMARAS,1702681137.0
6.1,1.6,KAHRAMANMARAS,1702679761.0
5.7,2.3,ERZURUM,1702679219.0
15.1,0.9,KAHRAMANMARAS,1702679138.0
5.0,1.7,VAN,1702678551.0
7.1,1.6,MALATYA,1702678368.0
6.4,1.7,KAHRAMANMARAS,1702677232.0
5.0,2.8,KASTAMONU,1702676205.0
13.8,2.0,MALATYA,1702675088.0
9.1,1.7,MALATYA,1702674157.0
26.6,1.5,VAN,1702672006.0
5.4,1.9,KAHRAMANMARAS,1702671887.0
7.8,1.6,MALATYA,1702671724.0
2.7,1.3,MALATYA,1702668883.0
5.0,1.9,ADIYAMAN,1702665661.0
0.0,2.1,BALIKESIR,1702664548.0
11.9,1.7,BALIKESIR,1702661383.0
5.2,2.0,MALATYA,1702661376.0
3.7,3.2,KAHRAMANMARAS,1702657274.0
6.3,1.7,BINGOL,1702652640.0
26.2,1.4,AYDIN,1702652078.0
15.4,1.7,MALATYA,1702651250.0
5.0,1.9,KAHRAMANMARAS,1702649917.0
0.0,1.3,MERSIN,1702647389.0
26.2,1.6,KAHRAMANMARAS,1702644286.0
5.4,1.6,KAHRAMANMARAS,1702642725.0
1.7,1.4,SIVAS,1702640039.0
51.9,1.4,MERSIN,1702638375.0
5.0,1.6,KAHRAMANMARAS,1702637084.0
5.0,1.7,MUGLA,1702637035.0
6.9,3.1,ADANA,1702636105.0
0.0,1.0,MERSIN,1702635332.0
0.0,1.5,BURSA,1702634176.0
7.2,2.1,BALIKESIR,1702632611.0
5.0,1.8,ELAZIG,1702631550.0
2.2,2.4,KAHRAMANMARAS,1702631380.0
9.0,2.7,BURSA,1702631116.0
13.4,1.4,ADANA,1702630703.0
5.4,2.2,AMASYA,1702630477.0
5.0,1.0,KAHRAMANMARAS,1702630319.0
0.0,1.1,MERSIN,1702629909.0
5.4,1.3,BURSA,1702629878.0
4.7,1.8,KAHRAMANMARAS,1702623905.0
11.8,1.4,KAHRAMANMARAS,1702622433.0
