"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.21,03:09:16,38.4062,37.5085,5.0,-.-,2.0,-.-,SUGUL-DARENDE(MALATYA)"
"2023.12.21,03:05:08,38.2763,37.6918,3.9,-.-,1.1,-.-,HARUNUSAGI-AKCADAG(MALATYA)"
"2023.12.21,02:53:52,40.4157,28.8700,13.0,-.-,1.4,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.21,02:50:47,38.0120,36.5163,8.4,-.-,1.1,-.-,GOKSUN(KAHRAMANMARAS)"
"2023.12.21,02:47:16,40.7287,27.4552,19.7,-.-,2.4,-.-,GUZELKOY,ACIKLARI-TEKIRDAG(MARMARA,DENIZI)"
"2023.12.21,02:44:18,40.0967,28.1243,4.1,-.-,1.1,-.-,ILICABOGAZI-SUSURLUK(BALIKESIR)"
"2023.12.21,02:10:29,37.8857,36.5887,7.5,-.-,1.3,-.-,TEKIR-(KAHRAMANMARAS)"
"2023.12.21,01:41:21,34.7990,24.1430,15.3,-.-,2.1,-.-,GIRIT,ADASI,ACIKLARI(AKDENIZ)"
"2023.12.21,01:31:09,37.8822,36.3180,14.8,-.-,1.2,-.-,PAYAMBURNU-GOKSUN(KAHRAMANMARAS)"
"2023.12.21,00:30:36,37.2027,35.9947,22.5,-.-,1.2,-.-,IRMAKLI-CEYHAN(ADANA)"
"2023.12.21,00:24:18,39.4223,40.3890,6.9,-.-,1.9,-.-,GELINPERTEK-YEDISU(BINGOL)"
"2023.12.21,00:20:32,34.8830,25.8000,5.0,-.-,3.5,3.4,GIRIT,ADASI,ACIKLARI(AKDENIZ)"
"2023.12.21,00:03:41,38.3155,37.3825,8.0,-.-,1.3,-.-,AKSAKAL-ELBISTAN(KAHRAMANMARAS)"
"2023.12.20,23:48:05,36.6170,36.3673,8.6,-.-,1.7,-.-,ALIBEYCAGILI-KIRIKHAN(HATAY)"
"2023.12.20,23:30:37,37.7183,34.7270,5.0,-.-,2.0,-.-,KURKCU-BOR(NIGDE)"
"2023.12.20,23:22:03,38.7520,37.3963,21.2,-.-,1.5,-.-,AGACLI-GURUN(SIVAS)"
"2023.12.20,22:43:35,38.1085,37.7693,3.3,-.-,1.1,-.-,FINDIKKOY-DOGANSEHIR(MALATYA)"
"2023.12.20,22:23:51,36.5027,27.1890,5.4,-.-,2.6,-.-,ONIKI,ADALAR(AKDENIZ)"
"2023.12.20,21:21:48,38.1368,36.6393,7.6,-.-,1.9,-.-,YENIYAPAN-GOKSUN(KAHRAMANMARAS)"
"2023.12.20,21:05:28,38.7090,39.9312,5.2,-.-,2.1,-.-,PALU(ELAZIG)"
"2023.12.20,20:43:42,38.3175,38.8553,11.3,-.-,1.4,-.-,CIGIRLI-PUTURGE(MALATYA)"
"2023.12.20,19:36:02,38.0630,36.5542,14.2,-.-,1.0,-.-,ORTATEPE-GOKSUN(KAHRAMANMARAS)"
"2023.12.20,19:27:25,34.8788,25.2163,11.8,-.-,2.1,-.-,GIRIT,ADASI(AKDENIZ)"
"2023.12.20,19:22:51,38.2007,27.2907,7.3,-.-,2.2,-.-,KAPLANCIK-TORBALI(IZMIR)"
"2023.12.20,19:13:25,38.3862,37.5875,5.0,-.-,2.4,-.-,YUKARIULUPINAR-DARENDE(MALATYA)"
"2023.12.20,18:22:45,38.6420,36.4163,8.1,-.-,1.1,-.-,EGRISOGUT-PINARBASI(KAYSERI)"
"2023.12.20,18:02:53,36.6082,31.9455,1.1,-.-,1.7,-.-,YENIKOY-ALANYA(ANTALYA)"
"2023.12.20,18:00:47,34.8185,24.2537,26.1,-.-,2.1,-.-,GIRIT,ADASI,ACIKLARI(AKDENIZ)"
"2023.12.20,17:24:25,38.1808,38.6138,1.3,-.-,1.5,-.-,SOGUTLU-PUTURGE(MALATYA)"
"2023.12.20,17:14:00,37.8610,35.3958,16.3,-.-,1.5,-.-,ULUPINAR-YAHYALI(KAYSERI)"
"2023.12.20,17:08:12,37.6028,32.1078,9.1,-.-,1.3,-.-,MESUDIYE-SEYDISEHIR(KONYA)"
"2023.12.20,16:09:45,37.8643,28.0295,3.2,-.-,1.3,-.-,KUYUCULAR-(AYDIN)"
"2023.12.20,16:06:55,38.2425,30.9628,12.6,-.-,1.7,-.-,YUKARITIRTAR-YALVAC(ISPARTA)"
"2023.12.20,15:44:23,38.4823,27.1390,9.2,-.-,2.1,-.-,BAYRAKLI(IZMIR)"
"2023.12.20,15:37:15,36.8475,35.3175,14.5,-.-,2.0,-.-,YUZBASI-KARATAS(ADANA)"
"2023.12.20,15:31:42,37.7863,36.4237,7.9,-.-,1.9,-.-,GEBEN-ANDIRIN(KAHRAMANMARAS)"
"2023.12.20,15:26:09,38.0447,37.6437,5.0,-.-,1.7,-.-,BEGRE-DOGANSEHIR(MALATYA)"
"2023.12.20,14:31:17,40.2227,27.2062,18.4,-.-,1.5,-.-,AKPINAR-BIGA(CANAKKALE)"
